stringArray,numericArray
resultado0-gen0,0.00154114399986778
resultado1-gen0,0.120841170464607
resultado10-gen0,0.0597961703025578
resultado11-gen0,0.0541144833802146
resultado12-gen0,0.152326509968497
resultado13-gen0,0.0318596291868292
resultado14-gen0,0
resultado15-gen0,0.00874291185213791
resultado16-gen0,0.0527206303106307
resultado17-gen0,0.0997010402621189
resultado18-gen0,0.0362361651271853
resultado19-gen0,0.145875716089354
resultado2-gen0,0.00404153465284749
resultado20-gen0,0.176629984145825
resultado21-gen0,0.188712636600478
resultado22-gen0,0
resultado23-gen0,0.239174737086688
resultado24-gen0,0.178919074172984
resultado25-gen0,0.0710137282557091
resultado26-gen0,0
resultado27-gen0,0.122085135892592
resultado28-gen0,0
resultado29-gen0,0.0116305685168084
resultado3-gen0,0.0906032461760346
resultado30-gen0,4.34478605465135e-05
resultado31-gen0,0.369181788104013
resultado32-gen0,0.115341565606417
resultado33-gen0,0.0463437881764314
resultado34-gen0,0
resultado35-gen0,0.0326313816884259
resultado36-gen0,0.197638811503926
resultado37-gen0,0.15343512339812
resultado38-gen0,0.449525560282683
resultado39-gen0,0.015099218587779
resultado4-gen0,0
resultado40-gen0,0
resultado41-gen0,0.052213112144205
resultado42-gen0,0.00316300669731692
resultado43-gen0,0.00136204499624544
resultado44-gen0,0.00722157898970504
resultado45-gen0,0.0589461535700279
resultado46-gen0,0.0752581222668151
resultado47-gen0,0.0521313212554537
resultado48-gen0,0.0206170103542107
resultado49-gen0,0.0399455502018724
resultado5-gen0,0.372503026918157
resultado50-gen0,0.0232830604363598
resultado51-gen0,0.0159927707721967
resultado52-gen0,0.00386610619842263
resultado53-gen0,0
resultado54-gen0,0.0150806610889864
resultado55-gen0,0.00135770140926254
resultado56-gen0,0.400437631962733
resultado57-gen0,0.0627266326260702
resultado58-gen0,0.00453875695896576
resultado59-gen0,0.415914038467906
resultado6-gen0,0.0494175648963473
resultado60-gen0,0.0639534434334139
resultado61-gen0,0.482161698098705
resultado62-gen0,0
resultado63-gen0,0.166609767308783
resultado64-gen0,0.00805197166623556
resultado65-gen0,0.107599643958472
resultado66-gen0,0.266186368704492
resultado67-gen0,0.289839424870302
resultado68-gen0,0.0401930093918714
resultado69-gen0,0.0142928599516214
resultado7-gen0,0.0161549819078785
resultado70-gen0,0.00526020182139718
resultado71-gen0,0.0250415269801367
resultado72-gen0,0.243336135428515
resultado73-gen0,0.0133312690641908
resultado74-gen0,0
resultado75-gen0,0.314576658172939
resultado76-gen0,0.390857061020555
resultado77-gen0,0.0808751242660133
resultado78-gen0,0.000162013821166865
resultado79-gen0,0.0608541321688231
resultado8-gen0,0.481393939702453
resultado80-gen0,0.0271536624462611
resultado81-gen0,0.04576443946489
resultado82-gen0,0.0660181895592476
resultado83-gen0,0
resultado84-gen0,0.0569051045373631
resultado85-gen0,0.0039731351233906
resultado86-gen0,0.0356719140113691
resultado87-gen0,0
resultado88-gen0,0.0516153789462073
resultado89-gen0,0.0522830379357306
resultado9-gen0,0.384866239203367
resultado90-gen0,0.129875780531839
resultado91-gen0,0.384946550634957
resultado92-gen0,0.210446434430699
resultado93-gen0,0.0142429573306526
resultado94-gen0,0.129710054945455
resultado95-gen0,0.0510321227532069
resultado96-gen0,0.0571618031022125
resultado97-gen0,0.383076769567416
resultado98-gen0,0.177454640998119
resultado99-gen0,0.0173108568388187
