stringArray,numericArray
resultado0-gen0,0.0452964840143973
resultado1-gen0,0
resultado10-gen0,0
resultado11-gen0,0.0396433606838695
resultado12-gen0,0
resultado13-gen0,0.0468906486036871
resultado14-gen0,0
resultado15-gen0,0.035514618913766
resultado16-gen0,0.115311122475826
resultado17-gen0,0.385965869370604
resultado18-gen0,0
resultado19-gen0,0.0216908055041409
resultado2-gen0,0.0981632085846347
resultado20-gen0,0.0565063556517874
resultado21-gen0,0.219504424595659
resultado22-gen0,0.056673749096977
resultado23-gen0,0.0369913209630011
resultado24-gen0,0.356708637591697
resultado25-gen0,0.187798193337372
resultado26-gen0,0.140257957676116
resultado27-gen0,0.071381048419483
resultado28-gen0,0.39006303503108
resultado29-gen0,0.024616776576608
resultado3-gen0,0.0277120931327304
resultado30-gen0,0.191092160729296
resultado31-gen0,0.0661208923644949
resultado32-gen0,0.10018024087478
resultado33-gen0,0.512492774898583
resultado34-gen0,0.178224084082977
resultado35-gen0,0.013681682485035
resultado36-gen0,0.249855624682908
resultado37-gen0,0.00116707572414537
resultado38-gen0,0.00103426313906189
resultado39-gen0,0.300712732195578
resultado4-gen0,0
resultado40-gen0,0.000814892307076248
resultado41-gen0,0.29540069196945
resultado42-gen0,0.273729374369724
resultado43-gen0,0.0517614328982668
resultado44-gen0,0.356018996355923
resultado45-gen0,0.107969073425797
resultado46-gen0,0
resultado47-gen0,0.0108690659109528
resultado48-gen0,0.101605980562506
resultado49-gen0,0.461221733291677
resultado5-gen0,0.00195433736920018
resultado50-gen0,0
resultado51-gen0,0.00260273394615336
resultado52-gen0,0.138828199864018
resultado53-gen0,0.0462852371984706
resultado54-gen0,0.0171981629234623
resultado55-gen0,0.0808753863396674
resultado56-gen0,0.0518283832142666
resultado57-gen0,0.104879521760978
resultado58-gen0,0.010632946305412
resultado59-gen0,0.310224900307472
resultado6-gen0,0
resultado60-gen0,0.412124637278217
resultado61-gen0,0.374101248601154
resultado62-gen0,0.185825952261714
resultado63-gen0,0
resultado64-gen0,0.0144180246724702
resultado65-gen0,0.30719494083402
resultado66-gen0,0
resultado67-gen0,0.105287334829101
resultado68-gen0,0.349959433699708
resultado69-gen0,0.107495220974271
resultado7-gen0,0.277991021580848
resultado70-gen0,0.161882095479404
resultado71-gen0,0
resultado72-gen0,0.051792409184163
resultado73-gen0,0.179752752451054
resultado74-gen0,0.00696847680497448
resultado75-gen0,0.00252496630758425
resultado76-gen0,0.126530437866747
resultado77-gen0,0.29464580922339
resultado78-gen0,0.351984664309236
resultado79-gen0,0.117369074015749
resultado8-gen0,0.0649619782227021
resultado80-gen0,0.0823495764268692
resultado81-gen0,0.0427725389944213
resultado82-gen0,0.0513476996396597
resultado83-gen0,0.57026514836237
resultado84-gen0,0.187255705425209
resultado85-gen0,0.00729833953248389
resultado86-gen0,0
resultado87-gen0,0.00575301458381502
resultado88-gen0,0.287118549639603
resultado89-gen0,0.0561659644186747
resultado9-gen0,0.0513413136177051
resultado90-gen0,0.214610898116397
resultado91-gen0,0.00869962026864645
resultado92-gen0,0.00794384952074235
resultado93-gen0,0.106084064564842
resultado94-gen0,0.26114526717263
resultado95-gen0,0.106466867176384
resultado96-gen0,0.365141057800869
resultado97-gen0,0.0441934683439614
resultado98-gen0,0.150787458678744
resultado99-gen0,0.00100292705461022
